Season,EpisodeTitle,Ratings,Votes,Viewership(MM),Duration,Date,GuestStars,Director,Writers
1,Pilot,7.5,4936,11.2,23, 24 March 2005,,Ken Kwapis,Ricky Gervais |Stephen Merchant and Greg Daniels
1,Diversity Day,8.3,4801,6.0,23, 29 March 2005,,Ken Kwapis,B. J. Novak
1,Health Care,7.8,4024,5.8,22, 5 April 2005,,Ken Whittingham,Paul Lieberstein
1,The Alliance,8.1,3915,5.4,23, 12 April 2005,,Bryan Gordon,Michael Schur
1,Basketball,8.4,4294,5.0,23, 19 April 2005,,Greg Daniels,Greg Daniels
1,Hot Girl,7.7,3854,4.8,23, 26 April 2005,Amy Adams,Amy Heckerling,Mindy Kaling
2,The Dundies,8.7,4315,9.0,21, 20 September 2005,,Greg Daniels,Mindy Kaling
2,Sexual Harassment,8.2,3665,7.13,22, 27 September 2005,,Ken Kwapis,B. J. Novak
2,Office Olympics,8.4,3665,8.3,22, 4 October 2005,Nancy Carell,Paul Feig,Michael Schur
2,The Fire,8.4,3607,7.6,22, 11 October 2005,Amy Adams,Ken Kwapis,B. J. Novak
2,Halloween,8.1,3392,8.0,30, 18 October 2005,,Paul Feig,Greg Daniels
2,The Fight,8.1,3388,7.9,22, 1 November 2005,,Ken Kwapis,Gene Stupnitsky | Lee Eisenberg
2,The Client,8.6,3533,7.5,22, 8 November 2005,Tim Meadows,Greg Daniels,Paul Lieberstein
2,Performance Review,8.2,3216,8.0,22, 15 November 2005,,Paul Feig,Larry Wilmore
2,E-Mail Surveillance,8.4,3338,8.1,23, 22 November 2005,Ken Jeong,Paul Feig,Jennifer Celotta
2,Christmas Party,8.9,3663,9.7,22, 6 December 2005,,Charles McDougall,Michael Schur
2,Booze Cruise,8.6,3536,8.7,22, 5 January 2006,Rob Riggle,Ken Kwapis,Greg Daniels
2,The Injury,9.1,4314,10.3,22, 12 January 2006,,Bryan Gordon,Mindy Kaling
2,The Secret,8.3,3142,8.7,22, 19 January 2006,,Dennie Gordon,Lee Eisenberg | Gene Stupnitsky
2,The Carpet,7.8,3118,8.6,22, 26 January 2006,,Victor Nelli Jr.,Paul Lieberstein
2,Boys and Girls,8.2,3091,5.42,22, 2 February 2006,,See full summary,B. J. Novak
2,Valentine's Day,8.3,3104,8.95,22, 9 February 2006,Conan O'Brien,Greg Daniels,Michael Schur
2,Dwight's Speech,8.5,3283,8.4,22, 2 March 2006,,Charles McDougall,Paul Lieberstein
2,Take Your Daughter to Work Day,8.3,3212,8.8,21, 16 March 2006,,See full summary,Mindy Kaling
2,Michael's Birthday,8.1,3094,7.8,22, 30 March 2006,,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg
2,Drug Testing,8.4,3172,7.8,22, 27 April 2006,,Greg Daniels,Jennifer Celotta
2,Conflict Resolution,8.7,3253,7.4,22, 4 May 2006,,Charles McDougall,Greg Daniels
2,Casino Night,9.4,4765,7.6,29, 11 May 2006,,Ken Kwapis,Steve Carell
3,Gay Witch Hunt,9.0,4133,9.11,23, 21 September 2006,,Ken Kwapis,Greg Daniels
3,The Convention,8.2,3027,7.78,22, 28 September 2006,Jerome Bettis,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg
3,The Coup,8.5,3175,8.89,22, 5 October 2006,,Greg Daniels,Paul Lieberstein
3,Grief Counseling,8.0,3049,8.83,22, 12 October 2006,,Roger Nygard,Jennifer Celotta
3,Initiation,8.1,2976,8.46,22, 19 October 2006,,Randall Einhorn,B. J. Novak
3,Diwali,7.9,3082,8.81,22, 2 November 2006,,Miguel Arteta,Mindy Kaling
3,Branch Closing,8.6,3021,8.05,31, 9 November 2006,,Tucker Gates,Michael Schur
3,The Merger,8.7,3166,8.63,30, 16 November 2006,,Ken Whittingham,Brent Forrester
3,The Convict,8.3,3151,9.07,30, 30 November 2006,,Jeffrey Blitz,Ricky Gervais | Stephen Merchant
3,A Benihana Christmas,8.8,3343,8.44,42, 14 December 2006,,Harold Ramis,Jennifer Celotta
3,Back from Vacation,8.5,3001,8.8,21, 4 January 2007,,Julian Farino,Justin Spitzer
3,Traveling Salesmen,8.6,3053,10.12,22, 11 January 2007,,Greg Daniels,Michael Schur | Lee Eisenberg | Gene Stupnitsky
3,The Return,8.8,3211,10.2,28, 18 January 2007,,Greg Daniels,Lee Eisenberg | Gene Stupnitsky | Michael Schur
3,Ben Franklin,8.1,2975,10.11,21, 1 February 2007,,Randall Einhorn,Mindy Kaling
3,Phyllis' Wedding,8.2,2995,8.84,21, 8 February 2007,,Ken Whittingham,Caroline Williams
3,Business School,8.9,3460,8.84,22, 15 February 2007,,Joss Whedon,Brent Forrester
3,Cocktails,8.5,2969,8.3,21, 22 February 2007,,J.J. Abrams,Paul Lieberstein
3,The Negotiation,9.0,3368,6.74,30, 5 April 2007,,Jeffrey Blitz,Michael Schur
3,Safety Training,8.8,3164,7.71,21, 12 April 2007,,Harold Ramis,B. J. Novak
3,Product Recall,8.7,3138,7.56,21, 26 April 2007,,Randall Einhorn,Justin Spitzer | Brent Forrester
3,Women's Appreciation,8.8,3158,7.0,29, 3 May 2007,,Tucker Gates,Gene Stupnitsky | Lee Eisenberg
3,Beach Games,9.2,3641,7.2,28, 10 May 2007,,Harold Ramis,Jennifer Celotta | Greg Daniels
3,The Job,9.3,3898,7.88,42, 17 May 2007,,Ken Kwapis,Paul Lieberstein | Michael Schur
4,Fun Run,8.8,3635,9.7,42, 27 September 2007,,Greg Daniels,Greg Daniels
4,Dunder Mifflin Infinity,8.3,2934,8.49,42, 4 October 2007,,Craig Zisk,Michael Schur
4,Launch Party,8.4,2844,8.91,42, 11 October 2007,Kevin McHale,See full summary,Jennifer Celotta
4,Money,8.7,3073,8.5,42, 18 October 2007,,Paul Lieberstein,Paul Lieberstein
4,Local Ad,8.8,3125,8.98,22, 25 October 2007,,Jason Reitman,B. J. Novak
4,Branch Wars,8.5,2878,8.39,30, 1 November 2007,,Joss Whedon,Mindy Kaling
4,Survivor Man,8.2,2775,8.29,30, 8 November 2007,,Paul Feig,Steve Carell
4,The Deposition,8.7,2923,8.86,30, 15 November 2007,,Julian Farino,Lester Lewis
4,Dinner Party,9.5,5601,9.22,30, 10 April 2008,,Paul Feig,Gene Stupnitsky | Lee Eisenberg
4,Chair Model,8.0,2757,9.81,30, 17 April 2008,,Jeffrey Blitz,B. J. Novak
4,Night Out,8.6,2872,7.56,21, 24 April 2008,,Ken Whittingham,Mindy Kaling
4,Did I Stutter?,8.3,2756,7.67,22, 1 May 2008,,Randall Einhorn,Brent Forrester | Justin Spitzer
4,Job Fair,7.8,2627,7.22,30, 8 May 2008,,Tucker Gates,Lee Eisenberg | Gene Stupnitsky
4,"Goodbye, Toby",9.3,3939,8.07,42, 15 May 2008,,Paul Feig,Jennifer Celotta | Paul Lieberstein
5,Weight Loss,8.8,3264,9.2,43, 25 September 2008,,Paul Feig,Lee Eisenberg | Gene Stupnitsky
5,Business Ethics,8.3,2654,8.99,22, 9 October 2008,Wendi McLendon-Covey,Jeffrey Blitz,Ryan Koh
5,Baby Shower,8.0,2621,8.07,22, 16 October 2008,,Greg Daniels,Aaron Shure
5,Crime Aid,8.1,2525,7.74,30, 23 October 2008,,Jennifer Celotta,Charlie Grandy
5,Employee Transfer,8.0,2600,9.32,22, 30 October 2008,,David Rogers,Anthony Q. Farrell
5,Customer Survey,8.5,2717,8.35,22, 6 November 2008,,Stephen Merchant,Lester Lewis
5,Business Trip,8.2,2516,8.18,30, 13 November 2008,,Randall Einhorn,Brent Forrester
5,Frame Toby,8.6,2799,8.4,30, 20 November 2008,,See full summary,Mindy Kaling
5,The Surplus,8.8,2776,8.33,22, 4 December 2008,,Paul Feig,Gene Stupnitsky | Lee Eisenberg
5,Moroccan Christmas,8.4,2613,8.79,30, 11 December 2008,,Paul Feig,Justin Spitzer
5,The Duel,8.7,2711,8.5,30, 15 January 2009,,Dean Holland,Jennifer Celotta
5,Prince Family Paper,8.0,2615,8.74,22, 22 January 2009,,Asaad Kelada,B. J. Novak
5,Stress Relief,9.7,8170,22.91,60, 1 February 2009,"Cloris Leachman, Jack Black, Jessica Alba",Jeffrey Blitz,Paul Lieberstein
5,Lecture Circuit: Part 1,8.2,2474,8.39,30, 5 February 2009,,Ken Kwapis,Mindy Kaling
5,Lecture Circuit: Part 2,8.1,2431,8.89,30, 12 February 2009,,Ken Kwapis,Mindy Kaling
5,Blood Drive,8.0,2464,8.63,22, 5 March 2009,,Randall Einhorn,Brent Forrester
5,Golden Ticket,8.7,2667,7.51,30, 12 March 2009,,Randall Einhorn,Mindy Kaling
5,New Boss,8.3,2503,7.95,30, 19 March 2009,Idris Elba,Paul Feig,Lee Eisenberg | Gene Stupnitsky
5,Two Weeks,8.4,2492,8.45,30, 26 March 2009,,Paul Lieberstein,Aaron Shure
5,Dream Team,8.3,2484,7.2,30, 9 April 2009,,Paul Feig,B. J. Novak
5,Michael Scott Paper Company,8.7,2718,7.94,22, 9 April 2009,,Gene Stupnitsky,Justin Spitzer
5,Heavy Competition,8.7,2568,8.24,30, 16 April 2009,,Ken Whittingham,Ryan Koh
5,Broke,9.2,3409,7.21,30, 23 April 2009,,Steve Carell,Charlie Grandy
5,Casual Friday,8.3,2467,7.31,22, 30 April 2009,,Brent Forrester,Anthony Q. Farrell
5,Cafe Disco,8.7,2814,7.71,30, 7 May 2009,,Randall Einhorn,Warren Lieberstein | Halsted Sullivan
5,Company Picnic,9.0,2954,6.72,30, 14 May 2009,,Ken Kwapis,Jennifer Celotta | Paul Lieberstein
6,Gossip,8.8,2866,8.2,30, 17 September 2009,,Paul Lieberstein,Paul Lieberstein
6,The Meeting,8.1,2349,7.33,30, 24 September 2009,,Randall Einhorn,Aaron Shure
6,The Promotion,8.0,2344,7.28,30, 1 October 2009,,Jennifer Celotta,Jennifer Celotta
6,Niagara: Part 1,9.4,4560,9.42,30, 8 October 2009,,Paul Feig,Greg Daniels | Mindy Kaling
6,Niagara: Part 2,9.4,3114,9.42,19, 8 October 2009,,Paul Feig,Greg Daniels | Mindy Kaling
6,Mafia,7.6,2464,8.1,30, 15 October 2009,Mike Starr,David Rogers,Brent Forrester
6,The Lover,8.6,2590,8.52,30, 22 October 2009,,Lee Eisenberg,Lee Eisenberg | Gene Stupnitsky
6,Koi Pond,8.2,2348,8.2,30, 29 October 2009,,Reginald Hudlin,Warren Lieberstein | Halsted Sullivan
6,Double Date,8.1,2314,7.94,30, 5 November 2009,,Seth Gordon,Charlie Grandy
6,Murder,8.7,2761,7.76,23, 12 November 2009,,Greg Daniels,Daniel Chun
6,Shareholder Meeting,8.2,2336,7.43,30, 19 November 2009,,Charles McDougall,Justin Spitzer
